,id,num_sold
0,230130,891.0
1,230131,892.2
2,230132,893.4
3,230133,894.6
4,230134,895.8
5,230135,896.9
6,230136,898.1
7,230137,899.3
8,230138,900.5
9,230139,901.7
10,230140,902.9
11,230141,904.1
12,230142,905.3
13,230143,906.5
14,230144,907.7
15,230145,908.9
16,230146,910.1
17,230147,911.3
18,230148,912.5
19,230149,913.7
20,230150,914.9
21,230151,916.1
22,230152,917.3
23,230153,918.5
24,230154,919.7
25,230155,920.9
26,230156,922.1
27,230157,923.3
28,230158,924.5
29,230159,925.7
30,230160,926.9
31,230161,928.1
32,230162,929.3
33,230163,930.5
34,230164,931.7
35,230165,932.9
36,230166,934.0
37,230167,935.2
38,230168,936.4
39,230169,937.6
40,230170,938.8
41,230171,940.0
42,230172,941.2
43,230173,942.4
44,230174,943.6
45,230175,944.8
46,230176,946.0
47,230177,947.2
48,230178,948.4
49,230179,949.6
50,230180,950.8
51,230181,952.0
52,230182,953.2
53,230183,954.4
54,230184,955.6
55,230185,956.8
56,230186,958.0
57,230187,959.2
58,230188,960.4
59,230189,961.6
60,230190,962.8
61,230191,964.0
62,230192,965.2
63,230193,966.4
64,230194,967.6
65,230195,968.8
66,230196,970.0
67,230197,971.2
68,230198,972.3
69,230199,973.5
70,230200,974.7
71,230201,975.9
72,230202,977.1
73,230203,978.3
74,230204,979.5
75,230205,980.7
76,230206,981.9
77,230207,983.1
78,230208,984.3
79,230209,985.5
80,230210,986.7
81,230211,987.9
82,230212,989.1
83,230213,990.3
84,230214,991.5
85,230215,992.7
86,230216,993.9
87,230217,995.1
88,230218,996.3
89,230219,997.5
90,230220,745.3
91,230221,746.5
92,230222,747.7
93,230223,748.9
94,230224,750.1
95,230225,751.3
96,230226,752.5
97,230227,753.7
98,230228,754.8
99,230229,756.0
100,230230,757.2
101,230231,758.4
102,230232,759.6
103,230233,760.8
104,230234,762.0
105,230235,763.2
106,230236,764.4
107,230237,765.6
108,230238,766.8
109,230239,768.0
110,230240,769.2
111,230241,770.4
112,230242,771.6
113,230243,772.8
114,230244,774.0
115,230245,775.2
116,230246,776.4
117,230247,777.6
118,230248,778.8
119,230249,780.0
120,230250,781.2
121,230251,782.4
122,230252,783.6
123,230253,784.8
124,230254,786.0
125,230255,787.2
126,230256,788.4
127,230257,789.6
128,230258,790.8
129,230259,792.0
130,230260,793.1
131,230261,794.3
132,230262,795.5
133,230263,796.7
134,230264,797.9
135,230265,799.1
136,230266,800.3
137,230267,801.5
138,230268,802.7
139,230269,803.9
140,230270,805.1
141,230271,806.3
142,230272,807.5
143,230273,808.7
144,230274,809.9
145,230275,811.1
146,230276,812.3
147,230277,813.5
148,230278,814.7
149,230279,815.9
150,230280,817.1
151,230281,818.3
152,230282,819.5
153,230283,820.7
154,230284,821.9
155,230285,823.1
156,230286,824.3
157,230287,825.5
158,230288,826.7
159,230289,827.9
160,230290,829.1
161,230291,830.2
162,230292,831.4
163,230293,832.6
164,230294,833.8
165,230295,835.0
166,230296,836.2
167,230297,837.4
168,230298,838.6
169,230299,839.8
170,230300,841.0
171,230301,842.2
172,230302,843.4
173,230303,844.6
174,230304,845.8
175,230305,847.0
176,230306,848.2
177,230307,849.4
178,230308,850.6
179,230309,851.8
180,230310,770.6
181,230311,771.8
182,230312,773.0
183,230313,774.2
184,230314,775.3
185,230315,776.5
186,230316,777.7
187,230317,778.9
188,230318,780.1
189,230319,781.3
190,230320,782.5
191,230321,783.7
192,230322,784.9
193,230323,786.1
194,230324,787.3
195,230325,788.5
196,230326,789.7
197,230327,790.9
198,230328,792.1
199,230329,793.3
200,230330,794.5
201,230331,795.7
202,230332,796.9
203,230333,798.1
204,230334,799.3
205,230335,800.5
206,230336,801.7
207,230337,802.9
208,230338,804.1
209,230339,805.3
210,230340,806.5
211,230341,807.7
212,230342,808.9
213,230343,810.1
214,230344,811.3
215,230345,812.5
216,230346,813.6
217,230347,814.8
218,230348,816.0
